Smartphone X,Celular de última geração com câmera 108MP,2999.99,Eletrônicos,50
Notebook Pro,Notebook com processador Intel i7 e 16GB RAM,5999.9,Eletrônicos,30
Geladeira FrostFree,Geladeira duplex com tecnologia inverter,3899.99,Eletrodomésticos,20
Fone de Ouvido Bluetooth,Fone sem fio com cancelamento de ruído,499.9,Acessórios,100
Smartwatch Fit,Relógio inteligente com monitor de saúde,899.99,Acessórios,60
Teclado Mecânico,Teclado RGB mecânico para gamers,349.9,Periféricos,80
Monitor 27 Polegadas,Monitor Full HD com taxa de 144Hz,1399.9,Periféricos,40
Impressora Multifuncional,"Imprime, copia e digitaliza",799.99,Escritório,25
Cadeira Gamer,Cadeira ergonômica ajustável para jogos,1299.9,Móveis,15
Máquina de Café,Cafeteira automática com moedor integrado,899.9,Eletrodomésticos,10
Ventilador de Mesa,Ventilador silencioso com 3 velocidades,199.9,Eletrodomésticos,40
Smart TV 55,Televisor 4K UHD com HDR10,3499.9,Eletrônicos,22
Console de Videogame,Console de última geração com 1TB,4499.99,Eletrônicos,18
Mouse Gamer,Mouse óptico com sensor de 16000 DPI,299.9,Periféricos,75
Caixa de Som Bluetooth,Caixa de som portátil com som 360°,599.9,Acessórios,90
Tablet 10 Polegadas,Tablet com tela Full HD e 128GB,1899.9,Eletrônicos,25
Fogão 4 Bocas,Fogão a gás com acendimento automático,1199.9,Eletrodomésticos,12
Micro-ondas 30L,Micro-ondas com função grill,799.9,Eletrodomésticos,30
Aspirador de Pó,Aspirador sem fio com bateria longa duração,899.9,Eletrodomésticos,25
Roteador Wi-Fi 6,Roteador dual-band de alta velocidade,599.9,Redes,50
HD Externo 2TB,Armazenamento portátil USB 3.0,499.9,Periféricos,45
SSD 1TB,SSD NVMe ultra rápido,699.9,Periféricos,60
Camera de Segurança,Câmera IP com visão noturna,299.9,Segurança,35
Mochila Executiva,Mochila impermeável com compartimento para laptop,199.9,Acessórios,80
Bicicleta Aro 29,Bicicleta de alumínio para trilha,2499.9,Esportes,10
Tênis Esportivo,Tênis para corrida com amortecimento,399.9,Moda,50
Mala de Viagem,Mala rígida com rodinhas 360°,599.9,Acessórios,30
Relógio de Pulso,Relógio analógico masculino,299.9,Acessórios,50
Jaqueta de Couro,Jaqueta estilosa com acabamento premium,899.9,Moda,20
Óculos de Sol,Óculos com proteção UV400,199.9,Acessórios,60
Perfume Importado,Fragrância premium 100ml,499.9,Beleza,40
Creme Hidratante,Hidratante corporal com aloe vera,79.9,Beleza,100
Shampoo Anticaspa,Shampoo revitalizante para cabelos,49.9,Beleza,90
Livro de Ficção,Bestseller de suspense e mistério,79.9,Livros,70
Notebook Gamer,Notebook com RTX 4060 e 32GB RAM,9999.9,Eletrônicos,10
Travesseiro Ortopédico,Travesseiro viscoelástico para conforto,159.9,Casa,40
Jogo de Panelas,Conjunto antiaderente de 5 peças,499.9,Casa,30
Aparelho de Jantar,Conjunto de porcelana para 6 pessoas,599.9,Casa,20
Batedeira Planetária,Batedeira com 8 velocidades,499.9,Eletrodomésticos,25
Sanduicheira Grill,Chapa elétrica antiaderente,299.9,Eletrodomésticos,35
Lampada Inteligente,Lâmpada LED controlada por app,149.9,Automação,80
Chuveiro Elétrico,Chuveiro com 4 temperaturas,249.9,Casa,40
Tapete Felpudo,Tapete grande para sala,699.9,Casa,15
Kit Ferramentas,Kit com 120 peças para manutenção,349.9,Ferramentas,25
Churrasqueira Elétrica,Churrasqueira compacta para apartamentos,499.9,Casa,20
Barbeador Elétrico,Aparador de pelos recarregável,299.9,Beleza,40
Purificador de Água,Purificador com filtro de carvão ativado,799.9,Casa,18
